"street_label","street_type","total_trees","total_length","n_segments","density"
"1300 W 52ND AV","Public",13,172.803548406538,1,7.52299366527832
"1400 E 19TH AV","Public",13,126.50558277857,2,10.2762263249319
"2100 W 43RD AV","Public",13,162.337459642787,1,8.00800999880473
"2100 WILLIAM ST","Public",13,140.322659549961,1,9.26436260664759
"2400 W 10TH AV","Public",13,172.079559550541,1,7.55464509204641
"2500 FRANKLIN ST","Public",13,190.501388663472,1,6.82409723687892
"2600 E 24TH AV","Public",13,190.113022778231,2,6.83803761048218
"2600 GUELPH ST","Public",13,100.407729199323,2,12.947210442528
"300 E 21ST AV","Public",13,140.616085096918,1,9.2450305319195
"300 N KOOTENAY ST","Public",13,110.680364625516,2,11.7455341279233
"3000 W 16TH AV","Public",13,99.0846043025236,1,13.1201008385809
"3100 E 3RD AV","Public",13,183.340897717087,1,7.090616530121
"3300 RUPERT ST","Public",13,81.625966274744,1,15.9263045735268
"3500 RUPERT ST","Public",13,93.0625959097188,2,13.9690923866034
"3600 W 15TH AV","Public",13,150.491575350907,1,8.63835730982774
"3600-3700 W 21ST AV","Public",13,210.66739508538,2,6.17086473905055
"3800 RUPERT ST","Public",13,104.271449374409,1,12.4674588087107
"400 DAVIE ST","Public",13,99.1440866798474,2,13.1122293172957
"4000 W 29TH AV","Public",13,229.561831363146,1,5.66296231512249
"4400 W 7TH AV","Public",13,220.524737336155,1,5.89503026147292
"4900-5000 KERSLAND DRIVE","Public",13,185.156128716796,1,7.02110164545731
"5300-5400 FLEMING ST","Public",13,228.845057415356,2,5.68069948585556
"600 GILFORD ST","Public",13,58.103348798586,1,22.3739255461234
"7000-7200 CYPRESS ST","Public",13,262.17825767071,2,4.95845846085669
"800 E 26TH AV","Public",13,145.107845492571,1,8.95885398606205
"900 E 8TH AV","Public",13,140.403398091628,1,9.25903516346242
"900 UNION ST","Public",13,121.306659608398,1,10.7166416435558
"0 DIEPPE PLACE","Public",12,152.787223835041,3,7.85405984793336
"100 E 50TH AV","Public",12,157.162488634534,2,7.63540976237965
"1000 W GEORGIA ST","Public",12,205.865253759994,1,5.82905555008815
"1000-1200 NOOTKA ST","Public",12,235.656556109233,2,5.09215622859128
"1100-1200 E 11TH AV","Public",12,280.745927947023,2,4.27432735632212
"1100-1200 THORNTON ST","Public",12,206.065929227738,1,5.82337897631684
"1200 E 13TH AV","Public",12,149.227276659323,1,8.04142531354724
"1200 E 51ST AV","Public",12,101.02530691631,1,11.878211872141
"1200 ISLAND PARK WALK","Public",12,372.854777473395,3,3.21841122200889
"1400 DAVIE ST","Public",12,120.52758077803,1,9.95622738176403
"1400 E 21ST AV","Public",12,200.775219254929,4,5.97683321902556
"1400 E 29TH AV","Public",12,128.44813021248,2,9.34229247257203
"1400 GRANT ST","Public",12,182.155161654297,3,6.58779026134552
"1500-1600 E 34TH AV","Public",12,200.505824967235,1,5.98486353299757
"1700 YEW ST","Public",12,97.9997506935719,2,12.2449291095871
"1800 E 49TH AV","Public",12,139.837892804652,2,8.5813650072399
"1800 LAKEWOOD DRIVE","Public",12,100.570159969367,2,11.9319686909667
"2100 W KING EDWARD AV","Public",12,281.140758725997,3,4.26832454119374
"2200 W 20TH AV","Public",12,172.069890008615,1,6.97391042639662
"2300 GARDEN DRIVE","Public",12,100.514344549348,2,11.938594489972
"2300 HEATHER ST","Public",12,93.2592388015944,2,12.8673578663124
"2600 CAROLINA ST","Public",12,100.570490634784,2,11.9319294598823
"2600 E 49TH AV","Public",12,171.728925412038,1,6.98775699621238
"2600 GLEN DRIVE","Public",12,100.526997856658,2,11.9370917821607
"2600 ST. GEORGE ST","Public",12,100.707943352766,2,11.9156439904304
"2700 PRINCE ALBERT ST","Public",12,100.599744488263,2,11.9284597202928
"2700 ST. GEORGE ST","Public",12,100.365300915488,2,11.9563234410113
